ID,Name,Lot
01378,CHINAHONGQIAO,500
01380,CHI KINGSTONE,10000
01381,CANVEST ENV,1000
01382,PACIFICTEXTILES,1000
01383,SUNCITY GROUP,10000
01385,SHANGHAI FUDAN,2000
01386,VESTATE GROUP,1000
01387,RENHE COMM,2000
01388,EMBRY HOLDINGS,1000
01389,MAJOR HLDGS,4000
01393,HIDILI INDUSTRY,1000
01395,ELL ENV,5000
01396,HYDOO INTL,2000
01397,BAGUIO GREEN,4000
01398,ICBC,1000
01399,SCUD GROUP,2000
01400,WANG TAI HLDG,5000
01415,COWELL,1000
01418,SINOMAX GROUP,2000
01419,HUMAN HEALTH,2000
01420,CHUAN HOLDING,4000
01421,KINGBO STRIKE,5000
01428,BRIGHT SMART,2000
01430,SUCHUANG GAS,2000
01431,YST DAIRY,1000
01432,CHINA SHENGMU,1000
01439,CH PACK DEV,5000
01443,FULUM GP HLDG,2000
01446,HUNGFOOKTONG,2000
01447,SFK,2000
01448,FU SHOU YUAN,1000
01450,CENTURY SAGE,2000
01452,DENOX ENV,1000
01456,GUOLIAN SEC,500
01458,ZHOU HEI YA,500
01459,JUJIANG CONS,2000
01460,ICO GROUP,4000
01461,LUZHENG FUTURES,1000
01462,GOLD-FIN HLDG,2000
01466,AFFLUENTPARTNER,2000
01468,UKF,10000
01469,GET NICE FIN,4000
01470,TIC TAC INT'L,4000
01476,HENGTOU SEC,1000
01478,Q TECH,1000
01480,YAN TAT GROUP,2000
01483,U BANQUET GP,2000
01486,C CHENG HLDGS,2000
01488,BEST FOOD HLDG,2000
01492,ZHONGDI DAIRY,2000
01495,JIYIHOUSEHOLD,2000
01496,AP RENTALS,4000
01498,PURAPHARM,500
01499,LEAP HLDGS GP,10000
01500,INCON,5000
01508,CHINA RE,1000
01509,HARMONICARE,1000
01513,LIVZON PHARMA,100
01515,CRPHOENIXHEALTH,500
01518,NC HEALTHCARE,500
01520,RUNWAY GLOBAL,6000
01522,C CITYRAILTEC,4000
01523,PLOVER BAY TECH,8000
01526,RICI HEALTH,1000
01527,TENGY ENV,200
01528,RS MACALLINE,200
01530,3SBIO,500
01532,CHINA PARTYTIME,3000
01533,ZHUANGYUAN PA,500
01536,YUK WING GP,2000
01538,ZHONG AO HOME,2000
01539,SYNERGY GROUP,2000
01543,JOIN-SHARE,2000
01547,IBI GROUP HLDGS,8000
01548,GENSCRIPT BIO,2000
01549,EVER HARVEST GP,8000
01555,MIE HOLDINGS,2000
01556,CHINNEY KW,5000
01557,K.H. GP HLDGS,4000
01558,HEC PHARM,200
01559,KWAN ON HLDGS,10000
01560,STAR PROPERTIES,2000
01561,MANFIELD CHEM,4000
01565,VIRSCEND EDU,1000
01566,CHINA ANIMATION,1000
01568,SUNDART HLDGS,2000
01569,MINSHENG EDU,2000
01570,WEIYE HOLDINGS,1000
01572,CHINA ART FIN,4000
01573,CH UNIENERGY,2000
01575,MORRIS HOLD,2000
01577,HUIXIN CREDIT,2000
01578,BANK OF TIANJIN,500
01579,YIHAI INTL,1000
01580,DA SEN HLDGS,5000
01581,PROGRESSIVE P,5000
01583,QINQIN FOODS,1000
01585,YADEA,2000
01586,CHINA LEON,4000
01588,CHANJET,200
01589,CNLP,1000
01591,SHUN WO GROUP,20000
01596,YICHEN IND,1000
01599,UCD,1000
01600,TIAN LUN GAS,1500
01606,CDB LEASING,2000
01608,VPOWER GROUP,1000
01609,CHONG KIN GP,10000
01610,COFCO MEAT,1000
01611,PANTRONICS HLDG,2000
01612,VINCENT MED,2000
01613,SYNERTONE,8000
01616,SILVERMAN HL,2000
01617,NANFANG COMM,4000
01618,MCC,1000
01619,TIANHE CHEM,2000
01622,REDCO PPT,2000
01623,HILONG,1000
01626,JIA YAO HLDGS,2000
01627,ABLE ENG HLDGS,4000
01628,YUZHOU PPT,1000
01629,MENGKE HLDGS,4000
01632,FOODWISE HLDG,2000
01633,SHEUNG YUE GP,3000
01635,DZUG,1000
01636,CMRU,4000
01637,SH GROUP HLDG,2000
01638,KAISA GROUP,1000
01639,AKM INDUSTRIAL,10000
01647,SHIS LTD,5000
01655,OKURA HOLDINGS,5000
01656,ISDN HOLDINGS,2000
01658,PSBC,1000
01660,SANROC INT'L,8000
01661,WISDOM SPORTS,1000
01662,YEE HOP HLDGS,4000
01663,S HARBOURHOLD,2000
01666,TONG REN TANG,1000
01667,MILESTONE BUILD,10000
01668,CHINASOUTHCITY,2000
01669,GIC GROUP,2000
01673,HUAZHANG TECH,2000
01678,CREATIVE GLOBAL,2000
01679,RISECOMM GP,2500
01680,MACAU LEGEND,1000
01681,CONSUN PHARMA,1000
01682,HIGHLIGHT IOT,4000
01683,ROYAL CHINA INT,4000
01685,BOER POWER,1000
01689,HUAXIHOLDINGS,2000
01698,BOSHIWA INT'L,1000
01699,PUTIAN FOOD,4000
01700,SPRINGLAND,1000
01708,SAMPLE TECH,1000
01717,AUSNUTRIA,1000
01718,WAN KEI GROUP,5000
01728,ZHENGTONGAUTO,500
01733,E-COMMODITIES,12000
01738,FS ANTHRACITE,2500
01766,CRRC,1000
01771,SUNFONDA GP,1000
01776,GF SEC,200
01777,FANTASIA,1500
01778,COLOUR LIFE,1000
01786,CRCCE,500
01788,GUOTAI JUNAN I,1000
01798,DATANG RENEW,1000
01799,XINTE ENERGY,400
01800,CHINA COMM CONS,1000
01803,BJ SPORTS & ENT,2500
01808,ENTERPRISE DEV,2000
01810,XIAO MI,200
01811,CGN NEW ENERGY,2000
01812,CHENMING PAPER,500
01813,KWG PROPERTY,500
01816,CGN POWER,1000
01818,ZHAOJIN MINING,500
01819,FUGUINIAO,600
01822,HONGDA FIN,30000
01823,HUAYUEXPRESSWAY,2000
01828,DCH HOLDINGS,1000
01829,CMEC,1000
01830,PERFECT SHAPE,4000
01831,SHIFANG HLDG,1000
01836,STELLA HOLDINGS,500
01838,CHINAPROPERTIES,1000
01848,CALC,500
01856,ERNEST BOREL,1000
01858,CHUNLI MEDICAL,200
01862,JINGRUI HLDGS,1000
01863,CHI LONGEVITY,1000
01866,CHINA XLX FERT,1000
01868,NEO-NEON,2000
01878,SOUTHGOBI-S,50
01880,BELLE INT'L,1000
01882,HAITIAN INT'L,1000
01883,CITIC TELECOM,1000
01884,EPRINT GROUP,4000
01885,CH WOOD OPT,4000
01886,HUIYUAN JUICE,500
01888,KB LAMINATES,500
01889,WUYI PHARMA,2500
01893,SINOMA,1000
01898,CHINA COAL,1000
01899,XINGDA INT'L,1000
01900,CHINA ITS,1000
01908,C&D INTL GROUP,4000
01910,SAMSONITE,300
01913,PRADA,100
01918,SUNAC,1000
01919,COSCO SHIP HOLD,500
01928,SANDS CHINA LTD,400
01929,CHOW TAI FOOK,200
01938,CHU KONG PIPE,1000
01958,BAIC MOTOR,500
01963,BCQ,500
01966,CHINA SCE PPT,1000
01970,IMAX CHINA,100
01972,SWIREPROPERTIES,200
01979,TEN PAO GROUP,4000
01980,TIANGE,1000
01982,NAMESON HLDGS,2000
01985,MICROWARE,2000
01986,TSAKER CHEM,500
01988,MINSHENG BANK,500
01989,PINE CARE GP,8000
01991,TA YANG GROUP,2000
01993,ASIARAY,500
01998,FLYKE INT'L,2000
01999,MAN WAH HLDGS,400
02000,SIM TECH,2000
02001,NEW HIGHER EDU,1000
02002,SUNSHINE PAPER,500
02005,SSY GROUP,2000
02006,JINJIANG HOTELS,2000
02007,COUNTRY GARDEN,1000
02008,PHOENIX TV,2000
02009,BBMG,1000
02010,REAL NUTRI,1000
02011,KEE,2000
02012,SUNSHINE OIL,500
02014,OZNER WATER,1000
02016,CZBANK,1000
02017,CHANHIGH,2000
02018,AAC TECH,500
02020,ANTA SPORTS,1000
02023,CHINA LUDAO,4000
02028,JOLIMARK,2000
02030,CABBEEN,1000
02031,AUSUPREME,5000
02033,TIME WATCH,2000
02038,FIH,1000
02039,CIMC,100
02066,SHENGJINGBANK,500
02068,CHALIECO,1000
02078,PANASIALUM,1000
02080,AUX INTL,2000
02083,NATURE HOME,1000
02086,ADVANCED CARD,8000
02088,XIWANG PROPERTY,2000
02098,ZALL GROUP,3000
02099,CHINAGOLDINTL,100
02100,BAIOO,2000
02111,BEST PACIFIC,2000
02112,CAA RESOURCES,2000
02113,CHERISH HLDGS,5000
02118,TIAN SHAN DEV,2000
02120,KN HOSPITAL,100
02121,FIRST CHEM,1000
02123,GOLDEN SHIELD,4000
02128,CHINA LESSO,1000
02133,CH POLYMETAL,1000
02136,LIFESTYLE CHI,500
02138,UM HEALTHCARE,1000
02166,SMART-CORE,2000
02168,YINGDE GASES,500
02178,PETRO-KING,1000
02183,LIFESTYLE PPT,2000
02186,LUYE PHARMA,500
02188,TITANS ENERGY,2000
02193,MAN KING HOLD,4000
02196,FOSUN PHARMA,500
02198,CHINA SANJIANG,1000
02199,REGINA MIRACLE,1000
02200,HOSA INT'L,2000
02202,CHINA VANKE,100
02208,GOLDWIND,200
02211,UNI HEALTH,1000
02212,FB MINING,20000
02213,YI HUA HLDG-NEW,2000
02218,ANDRE JUICE,500
02221,NEW CONCEPTS,4000
02222,NVC LIGHTING,1000
02223,CASABLANCA,2000
02226,HONWORLD GP,500
02228,CECEP COSTIN,3000
02229,CG DUNXIN,2000
02233,WESTCHINACEMENT,2000
02236,WISON ENGRG,1000
02238,GAC GROUP,2000
02239,SMIT,1000
02255,HAICHANG HLDG,1000
02266,LAI SI ENT,2000
02268,YOUYUAN HLDGS,1000
02277,HUARONG INV,5000
02278,HAILAN HLDGS,1000
02280,HC INTL,2000
02281,XINGLU WATER,1000
02282,MGM CHINA,400
02283,TK GROUP HLDG,2000
02286,CHEN XING,1000
02288,RYKADAN CAPITAL,1000
02289,CHARMACY PHAR,500
02293,BAMBOOSHEALTH,8000
02298,COSMO LADY,1000
02299,BILLION IND,2000
02300,AMVIG HOLDINGS,2000
02302,CNNC INT'L,1000
02303,HENGXING GOLD,2000
02307,KAM HING INT'L,2000
02308,EVOC,4000
02309,BIRMINGHAM SPTS,20000
02310,FOREBASE INTL,2000
02313,SHENZHOU INTL,1000
02314,LEE & MAN PAPER,1000
02317,VEDAN INT'L,4000
02318,PING AN,500
02319,MENGNIU DAIRY,1000
02320,HOP FUNG GROUP,2000
02322,NOBLE CENTURY,8000
02323,CHINA HKBRIDGE,2000
02326,BEP INT'L HOLD,10000
02327,MEILLEUREHEALTH,6000
02328,PICC P&C,2000
02329,GUORUI PPT,1000
02330,CHINA UPTOWN,4000
02331,LI NING,500
02333,GREATWALL MOTOR,500
02336,HAILIANG INTL,10000
02338,WEICHAI POWER,1000
02339,BWI INT'L,2000
02340,SYNERGIS HOLD,4000
02341,ECOGREEN,2000
02342,COMBA,2000
02343,PACIFIC BASIN,1000
02345,SHANGHAI PRIME,2000
02348,DAWNRAYS PHARMA,4000
02349,CH CITY INFRA,4000
02355,BAOYE GROUP,2000
02356,DAHSING BANKING,400
02357,AVICHINA,1000
02358,JIU RONG HOLD,10000
02362,JINCHUAN INTL,1000
02366,SMI CULTURE,5000
02368,EAGLE NICE,2000
02369,COOLPAD GROUP,4000
02371,C CHUANGLIAN ED,4000
02378,PRU,500
02379,ZHONGTIAN INT'L,5000
02380,CHINA POWER,1000
02382,SUNNY OPTICAL,1000
02383,TOM GROUP,2000
02386,SINOPEC SEG,500
02388,BOC HONG KONG,500
02389,BJ ENT M&H,6000
02393,YESTAR HEALTH,2500
02398,GOOD FRIEND,2000
02399,FORDOO,1000
02468,TRONY SOLAR,1000
02488,LAUNCH TECH,500
02588,BOC AVIATION,100
02600,CHALCO,2000
02601,CPIC,200
02607,SH PHARMA,100
02608,SUNSHINE 100,1000
02611,GTJA,200
02623,ADD NEW ENERGY,2000
02628,CHINA LIFE,1000
02633,JACOBSON PHARMA,2000
02638,HKELECTRIC-SS,500
02662,CAMSING INTL,2000
02666,UNI MEDICAL,500
02668,PAK TAK INT'L,10000
02669,CHINA OVS PPT,5000
02678,TEXHONG TEXTILE,500
02686,AAG ENERGY,1000
02688,ENN ENERGY,1000
02689,ND PAPER,1000
02698,WEIQIAO TEXTILE,500
02699,XINMING CHINA,2000
02700,GREEN INTL HLDG,20000
02722,CHONGQING M&E,2000
02727,SH ELECTRIC,2000
02728,YUHUA ENERGY,4000
02738,HUAJIN INTL,2000
02768,JIAYUAN INTL,2000
02777,R&F PROPERTIES,400
02778,Champion Real Estate,1000
02788,YORKEY OPTICAL,2000
02789,YUANDA CHINA,2000
02799,CHINA HUARONG,1000
02800,TRACKER FUND,500
02866,COSCO SHIP DEV,1000
02868,BJ CAPITAL LAND,2000
02869,GREENTOWN SER,2000
02877,SHINEWAY PHARM,1000
02878,SOLOMON SYSTECH,2000
02880,DALIAN PORT,2000
02882,HKRH,4000
02883,CHINA OILFIELD,2000
02886,BINHAI INV,2000
02888,STANCHART,50
02889,NRI HOLDINGS,2000
02898,LONGRUN TEA,10000
02899,ZIJIN MINING,2000
02957,C ZENITH-OLD,2500
02961,YI HUA HLDG-OLD,4000
02964,PLAYMATES-OLD,20000
02968,APAC RESOURCES,2000
02969,SMI HOLDINGS,800
03300,CHINA GLASS,2000
03301,RONSHINECHINA,500
03303,JUTAL OIL SER,2000
03306,JNBY,500
03308,GOLDEN EAGLE,1000
03311,CHINA STATE CON,2000
03313,ARTGO HOLDINGS,1000
03315,GOLDPAC GROUP,1000
03318,CHINA FLAVORS,2000
03320,CHINARES PHARMA,500
03322,WIN HANVERKY,2000
03323,CNBM,2000
03326,PERFECT GROUP,3000
03328,BANKCOMM,1000
03329,BOCOM INTL,1000
03330,LINGBAO GOLD,2000
03331,VINDA INT'L,1000
03332,SINOLIFE UTD,2000
03333,EVERGRANDE,1000
03335,DBA TELECOM,4000
03336,JU TENG INTL,2000
03337,ANTON OILFIELD,2000
03339,LONKING,1000
03344,ADDCHANCE,2000
03355,ASMC,2000
03360,FE HORIZON,1000
03363,ZHENGYE INT'L,2000
03366,OCT (ASIA),2000
03368,PARKSON GROUP,500
03369,QHD PORT,500
03377,SINO-OCEAN GP,500
03378,XIAMEN PORT,2000
03380,LOGAN PPT,2000
03382,TIANJINPORT DEV,2000
03383,AGILE GROUP,2000
03389,HENGDELI,4000
03393,WASION GROUP,2000
03395,PERSTA,1000
03396,LEGENDHOLDING,100
03398,CHINA TING,2000
03399,YUEYUN TRANS,1000
03600,MODERN DENTAL,1000
03606,FUYAO GLASS,400
03608,YONGSHENG MAT,2500
03618,CQRC BANK,1000
03623,C SUCCESS FIN,2000
03626,HSSP INTL,2000
03628,RENHENG ENT,4000
03633,ZHONGYU GAS,2000
03636,POLY CULTURE,100
03638,HUABANG FIN,12000
03639,YIDA CHINA,2000
03663,XIEZHONG INTL,4000
03666,XIAO NAN GUO,2000
03669,YONGDA AUTO,500
03678,HOLLY FUTURES,1000
03683,GREAT HARVEST,2500
03686,CLIFFORDML,10000
03688,TOP SPRING,500
03689,KANGHUA HEALTH,200
03698,HUISHANG BANK,1000
03708,YAT SING HLDG,5000
03709,KORADIOR,1000
03737,ZHONGZHIPHARM,1000
03768,DCWT,1000
03773,NNK,2000
03777,C FIBER OPTIC,2000
03778,CHINA WEAVING,4000
03788,CHINA HANKING,1000
03789,ROYAL DELUXE,4000
03799,DALI FOODS,500
03800,GCL-POLY ENERGY,1000
03808,SINOTRUK,500
03813,POU SHENG INT'L,1000
03816,KFM KINGDOM,4000
03818,CHINA DONGXIANG,1000
03822,SAM WOO CONS,4000
03823,TECH PRO,2000
03828,MING FAI INT'L,1000
03833,XINXIN MINING,1000
03836,HARMONY AUTO,500
03838,CHINA STARCH,5000
03839,CT ENTERPRISE,500
03866,BQD,500
03868,QX PAPER,1000
03869,HOSPITAL CORP,200
03882,SKYLIGHT HLDG,1000
03883,CHINA AOYUAN,1000
03886,TOWN HEALTH,2000
03888,KINGSOFT,1000
03889,GLOBAL SWEET,2000
03893,CROSSTEC,20000
03898,CRRC TIMES ELEC,100
03899,CIMC ENRIC,2000
03900,GREENTOWN CHINA,500
03903,HANHUA FIN,2000
03908,CICC,400
03918,NAGACORP,2000
03933,UNITED LAB,2000
03939,WANGUO MINING,2000
03948,YITAI COAL,100
03958,DFZQ,400
03963,RONGZHONG FIN,1000
03966,CH BAOFENG INTL,2000
03968,CM BANK,500
03969,CHINA CRSC,1000
03983,CHINA BLUECHEM,2000
03988,BANK OF CHINA,1000
03989,CAPITAL ENV,2000
03993,CMOC,3000
03996,CH ENERGY ENG,2000
03998,BOSIDENG,2000
03999,DACHAN FOOD,1000
04601,BOC 2014 PREF,20000
04603,ICBC USDPREF1,10000
04604,ICBC EURPREF1,10000
04605,BOCOM 15USDPREF,10000
04606,CCB 15USDPREF,10000
04607,CINDA 16USDPREF,10000
04608,HSBNK 16USDPREF,10000
04609,CMBC 16USDPREF,10000
04610,CZB 17USDPREF,10000
06030,CITIC SEC,500
06033,TELECOM DIGIT,1000
06066,CSC,500
06068,WISDOM EDU INTL,2000
06099,CMSC,200
06108,NEW RAY MEDIC,8000
06116,LA CHAPELLE,200
06118,AUSTAR,1000
06122,JIUTAI RCB,1000
06123,ON TIME LOG,2000
06128,EARTHASIA,2000
06133,VITAL MOBILE,1000
06136,KANGDA ENV,1000
06138,HARBIN BANK,1000
06139,JINMAO HOTEL-SS,500
06161,TARGET INS,2000
06163,GEMILANG INTL,2000
06166,CHINA VAST,1000
06168,CHINA U-TON,5000
06169,YUHUA EDU,2000
06178,EB SECURITIES,200
06183,CH GREENFRESH,1000
06188,BJ DIGITAL,500
06189,ADWAY,500
06196,BANKOFZHENGZHOU,1000
06198,QINGDAO PORT,1000
06808,SUNART RETAIL,500
06816,PROSPER CONS,2000
06818,CEB BANK,1000
06822,KING'S FLAIR,2000
06823,HKT-SS,1000
06826,HAOHAI BIOTEC,100
06828,BG BLUE SKY,8000
06830,HUAZHONG IN-V,2000
06833,SINCO PHARMA,4000
06836,TIANYUN INT'L,2000
06837,HAITONG SEC,400
06838,WINOX,2000
06839,YUNNAN WATER,1000
06858,HONMAGOLF,500
06863,HUISHAN DAIRY,1000
06865,FLAT GLASS,1000
06866,ZUOLI M-FIN,2000
06868,TENFU,1000
06869,YOFC,500
06878,DIFFER GROUP,2000
06880,TEMPUS HOLD,2000
06881,CGS,500
06882,EGL HOLDINGS,2000
06886,HTSC,200
06888,FREETECH,1000
06889,DYNAM JAPAN,200
06893,HINSANG GROUP,2000
06896,GOLDEN THROAT,500
06898,CHINA ALUMCAN,2000
06899,OURGAME,1000
08267,Oriental U.C.H,500
08350,EXCALIBUR Global,8000
